customer_id,customer_name,industry,account_manager,subscription_start_date,subscription_end_date,subscription_status,plan_type,monthly_fee,user_count,last_login_date,monthly_active_users,feature_usage_score,retention_rate_6m,retention_rate_12m,churn_risk_score,last_success_touch_date,notes
PIPRIME-TRIAL_038,PiPrime Advertising,Advertising,y.martinez,2024-06-03,,trial,Pro,0,20,2024-06-13,16,66.1,,,0.44,2024-06-12,"Pilot, initial engagement positive."
RHOPRIME-ENT_039,RhoPrime Education,Education,s.edwards,2021-05-13,,active,Enterprise,1350,102,2024-06-12,94,82.9,94.6,92.3,0.12,2024-06-10,"High engagement, annual review scheduled."
SIGMAPRIME-PRO_040,SigmaPrime Logistics,Transportation,j.ward,2023-07-21,,active,Pro,383,33,2024-06-13,29,71.3,73.6,,0.31,2024-06-08,"Moderate engagement, logistics integration launched."
TAUPRIME-BSC_041,TauPrime Solo,Testing,,2023-08-28,2024-06-01,expired,Basic,19.99,1,2024-06-01,0,0,0,,1,2024-06-01,"Minimal engagement, solo operator, account expired due to inactivity."
UPSILONPRIME-ENT_042,UpsilonPrime Aerospace,Aerospace,p.reed,2021-11-19,,active,Enterprise,3200,410,2024-06-13,401,98.5,98.1,97.6,0.02,2024-06-12,"High engagement, custom integrations, quarterly business review."
PHIPRIME-PRO_043,PhiPrime Healthcare,Healthcare,k.sanders,2022-10-14,,active,Pro,599,55,2024-06-10,52,88.4,90.7,88.2,0.09,2024-06-09,"High engagement, compliance integrations enabled."
CHIPRIME-BSC_044,ChiPrime Agriculture,Agriculture,,2023-12-17,,active,Basic,21.99,2,2024-06-08,1,15,,,0.47,2024-06-04,"Low engagement, price sensitive, evaluating alternatives."
PSIPRIME-TRIAL_045,PsiPrime Consulting,Professional Services,v.ross,2024-05-23,,trial,Pro,0,10,2024-06-13,7,33.2,,,0.74,2024-06-11,"Pilot, initial engagement positive, integration planned."
OMEGAPRIME-ENT_046,OmegaPrime Manufacturing,Manufacturing,g.murray,2022-02-21,,active,Enterprise,2300,210,2024-06-12,205,91.6,92.9,92.3,0.05,2024-06-10,"High engagement, custom reporting enabled."
ALPHA2-BSC_047,Alpha2 Retail Partners,Retail,,2023-12-03,,active,Basic,31,3,2024-06-09,2,26.3,,,0.53,2024-06-07,"Minimal engagement, solo operator, evaluating platform."
BETA2-PRO_048,Beta2 Financial Group,Finance,h.foster,2023-08-24,,active,Pro,428,37,2024-06-12,34,76.8,81.9,,0.28,2024-06-09,"Moderate engagement, renewal approaching."
GAMMA2-ENT_049,Gamma2 Technologies,Technology,a.wright,2022-08-19,,active,Enterprise,1360,102,2024-06-13,97,83.6,93.1,92.2,0.13,2024-06-12,"High engagement, custom integrations deployed."
DELTA2-PRO_050,Delta2 Health Network,Healthcare,c.wilson,2023-09-13,,active,Pro,418.99,41,2024-06-11,39,82.5,83.1,,0.26,2024-06-08,"Moderate engagement, compliance training scheduled."
NOVA-ENT_2024A1,Nova Industrial Solutions,Manufacturing,s.walters,2022-03-15,,active,Enterprise,1432,221,2024-05-30,205,95.4,99,97.2,0.06,2024-05-29,Annual review completed; advanced reporting enabled for plant analytics.
GLOBE-PRO_5321,Globe Finance Group,Finance,d.thompson,2023-02-20,,active,Pro,547.5,43,2024-05-27,37,78.1,91.8,,0.21,2024-05-26,Considering upgrade to Enterprise; frequent campaign spikes observed.
ALPHA_AGR-1009,Alpha Agricultural Holdings,Agriculture,,2024-01-12,,active,Basic,35.99,4,2024-05-28,3,42,,,0.39,2024-05-27,Minimal engagement; price sensitive. Solo operator added new field manager.
TITAN-TRIAL_9987,Titan Testing Systems,Testing,b.mcintosh,2024-05-02,,trial,Pro,0,15,2024-05-30,12,27.6,,,0.54,,Pilot project for regional expansion; integration delayed by API changes.
SUNRISE-PRO_7712,Sunrise Media Agency,Media,r.garcia,2023-09-10,,active,Pro,389,38,2024-05-29,32,83.2,87.6,,0.29,2024-05-29,Moderate engagement; considering upgrades. Noted seasonal campaign spikes.
SKY-ENT_3978,Sky Energy Partners,Energy,k.murphy,2021-12-01,,active,Enterprise,2560,312,2024-05-30,305,99.1,99.8,98.6,0.04,2024-05-30,Custom integrations for compliance; annual review completed successfully.
VECTOR-BASIC_1132,Vector Veterinary Clinic,Veterinary,,2023-11-19,,active,Basic,48,6,2024-05-28,4,39.7,,,0.47,2024-05-29,Minimal engagement noted; mostly billing and scheduling usage.
QUANTUM-ENT_7825,Quantum Aerospace Systems,Aerospace,h.chan,2022-07-17,,active,Enterprise,3890,701,2024-05-30,690,96.8,97.4,95.5,0.09,2024-05-28,High engagement; custom dashboard deployed for flight data analytics.
EVOLVE-PRO_4711,Evolve Construction LLC,Construction,t.evans,2023-05-24,,active,Pro,426,47,2024-05-29,44,72.3,89.2,,0.23,2024-05-27,Frequent usage of project management features; upgrade path under review.
MIRAGE-TRIAL_3019,Mirage Retail Labs,Retail,edge_case_mgr,2024-05-10,,trial,Basic,0,3,2024-05-29,2,18.9,,,0.59,,Early adopter; pilot for multi-store integration. Feedback pending.
ZENITH-ENT_4322,Zenith Education Group,Education,j.adams,2022-01-26,,active,Enterprise,1750,195,2024-05-30,182,85.5,93.1,91.7,0.13,2024-05-29,High engagement; annual curriculum review in progress.
PLATINUM-PRO_7508,Platinum Advertising Inc,Advertising,b.smith,2023-03-05,2024-04-19,cancelled,Pro,398.5,28,2024-04-19,0,0,20.5,,0.96,2024-04-19,Account closed due to merger; minimal engagement in final quarter.
VANGUARD-ENT_2207,Vanguard Healthcare Ltd,Healthcare,l.yu,2023-06-08,,active,Enterprise,1189,140,2024-05-29,122,88.7,94.3,,0.1,2024-05-28,Annual compliance review completed. High feature utilization.
FUSION-BASIC_6191,Fusion Retail Partners,Retail,,2022-11-25,2024-03-22,expired,Basic,24.99,3,2024-03-22,0,0,0,0,0.92,2024-03-22,Account expired; price increase cited as reason for exit.
SUMMIT-PRO_4231,Summit Transportation,Transportation,c.franklin,2023-07-14,,active,Pro,352,41,2024-05-28,36,68.9,81.2,,0.32,2024-05-27,Engagement increasing; new features trialed for route planning.
ORBIT-ENT_8491,Orbit Technology Group,Technology,v.martinez,2022-02-11,,active,Enterprise,2750,563,2024-05-30,558,99.9,98.2,97.8,0.02,2024-05-28,Advanced reporting enabled; high engagement across all divisions.
SOLID-BASIC_3352,Solid Construction Depot,Construction,,2023-08-02,2024-03-05,cancelled,Basic,41,7,2024-03-05,0,0,12,,0.98,2024-03-05,Minimal engagement. Account cancelled after project completion.
PIVOT-TRIAL_2328,Pivot Professional Services,Professional Services,m.owens,2024-05-13,,trial,Pro,0,19,2024-05-30,13,33.3,,,0.67,,Demo deployment; feedback on scheduling module awaited.
OMEGA-ENT_5964,Omega Manufacturing Inc,Manufacturing,f.baker,2021-08-13,,active,Enterprise,1980,171,2024-05-30,163,92.7,95.2,93.8,0.11,2024-05-29,Advanced analytics rollout completed; review scheduled for Q3.
CROWN-PRO_6614,Crown Healthcare Services,Healthcare,d.harris,2023-10-06,,active,Pro,374,33,2024-05-29,28,70.6,83.5,,0.28,2024-05-28,Engagement steady; billing module frequently accessed.
TRAILBLAZER-BASIC_4920,Trailblazer Retail Center,Retail,,2023-02-18,2024-02-28,expired,Basic,22.99,2,2024-02-28,0,0,0,0,0.94,2024-02-28,Account expired; no usage in last three months.
STRATUS-ENT_8704,Stratus Aerospace LLC,Aerospace,g.hernandez,2022-05-23,,active,Enterprise,3155,532,2024-05-30,528,97.7,96.7,94.8,0.08,2024-05-30,Annual review complete; custom integrations for flight analytics.
PULSE-PRO_7719,Pulse Transportation Ltd,Transportation,j.wilson,2022-08-16,,active,Pro,515,55,2024-05-30,52,86.1,95.4,91.9,0.18,2024-05-29,High engagement; tracking and route optimization features heavily used.
EVEREST-TRIAL_1147,Everest Veterinary Group,Veterinary,l.fernandez,2024-05-18,,trial,Basic,0,2,2024-05-29,1,13.7,,,0.43,,Demo account; initial feedback on scheduling module received.
ECLIPSE-BASIC_8472,Eclipse Media Labs,Media,,2023-10-21,2024-05-16,cancelled,Basic,47,9,2024-05-16,0,0,8.9,,0.97,2024-05-16,Minimal engagement; account cancelled after content migration.
SOLARIS-ENT_5005,Solaris Energy Solutions,Energy,l.chan,2022-09-08,,active,Enterprise,1725,109,2024-05-29,101,82.3,90.9,88,0.15,2024-05-28,Compliant with new energy regulations; high dashboard usage.
HORIZON-PRO_8416,Horizon Finance Solutions,Finance,a.james,2023-11-07,,active,Pro,402,35,2024-05-29,30,65.8,,,0.34,2024-05-29,Moderate engagement; reporting module used for quarterly audits.
CASCADE-BASIC_3957,Cascade Agriculture Co,Agriculture,,2022-10-14,2024-03-30,expired,Basic,19.99,2,2024-03-30,0,0,0,0,0.93,2024-03-30,Account expired; no engagement after first quarter.
AXIS-TRIAL_2073,Axis Manufacturing Partners,Manufacturing,j.hart,2024-05-08,,trial,Enterprise,0,22,2024-05-29,16,38.4,,,0.62,,Pilot for production line analytics; feedback scheduled for next month.
VISTA-PRO_9651,Vista Professional Group,Professional Services,m.wong,2023-06-13,,active,Pro,326,31,2024-05-29,28,68.5,79.2,,0.34,2024-05-28,Steady engagement; considering additional modules for automation.
PINNACLE-ENT_9003,Pinnacle Manufacturing Ltd,Manufacturing,v.lee,2022-03-27,,active,Enterprise,2110,311,2024-05-30,297,91.9,96.2,94.2,0.12,2024-05-29,Annual review; custom integration for supply chain tracking underway.
UNITY-PRO_4816,Unity Education Services,Education,c.kim,2023-01-11,,active,Pro,410,44,2024-05-29,41,92.1,95.8,,0.17,2024-05-29,High engagement; reporting and dashboard modules used daily.
INNOVATE-BASIC_2894,Innovate Advertising Group,Advertising,,2023-09-12,2024-04-30,expired,Basic,38.99,8,2024-04-30,0,0,9.6,,0.95,2024-04-30,Account expired; low engagement cited in exit survey.
GENESIS-ENT_1389,Genesis Technology Advisors,Technology,s.taylor,2021-11-30,,active,Enterprise,2585,494,2024-05-30,484,95.2,98.7,96.3,0.06,2024-05-29,Custom integrations for AI workflow; annual review scheduled.
ELEVATE-PRO_5238,Elevate Construction Group,Construction,d.reed,2022-12-18,,active,Pro,558,54,2024-05-30,48,87.3,94,89.3,0.19,2024-05-29,Engagement high; dashboard and analytics modules used for project tracking.
FALCON-TRIAL_1596,Falcon Testing Labs,Testing,t.hall,2024-05-12,,trial,Pro,0,12,2024-05-29,10,29.9,,,0.57,,Demo deployment; feedback on reporting module awaited.
SYNERGY-BASIC_9521,Synergy Media Solutions,Media,,2023-08-23,2024-02-21,expired,Basic,44,10,2024-02-21,0,0,5.7,,0.97,2024-02-21,Account expired; minimal engagement after first six months.
VECTOR-ENT_6208,Vector Aerospace Ltd,Aerospace,m.clark,2022-04-05,,active,Enterprise,2185,247,2024-05-30,239,92.8,95,93,0.12,2024-05-28,High engagement; advanced reporting for flight safety analytics.
FORWARD-PRO_7512,Forward Transportation Group,Transportation,n.lewis,2022-06-21,,active,Pro,362,39,2024-05-30,37,66.7,80.9,75.1,0.37,2024-05-29,Steady engagement; new route optimization feature trialed.
ENCOMPASS-ENT_4084,Encompass Healthcare,Healthcare,w.turner,2021-06-17,,active,Enterprise,1375,127,2024-05-30,119,89.6,92.8,91.8,0.13,2024-05-29,Compliance review complete; dashboard module upgraded for efficiency.
BENCHMARK-BASIC_7592,Benchmark Retail Group,Retail,,2023-02-24,2024-03-01,cancelled,Basic,31.99,5,2024-03-01,0,0,14.3,,0.99,2024-03-01,Minimal engagement; account cancelled after price increase.
OMNI-PRO_3501,Omni Professional Advisors,Professional Services,s.lawrence,2023-05-19,,active,Pro,385,29,2024-05-29,25,73.9,85.7,,0.27,2024-05-27,Engagement moderate; campaign module adopted by most users.
SPECTRUM-ENT_7213,Spectrum Energy Partners,Energy,a.brown,2022-11-09,,active,Enterprise,1645,121,2024-05-29,115,85.7,90.3,88.2,0.15,2024-05-28,High dashboard usage; compliance review scheduled for next quarter.
FOCUS-PRO_6908,Focus Finance LLC,Finance,m.dixon,2022-07-24,,active,Pro,547,51,2024-05-30,48,89.2,97.1,95,0.09,2024-05-29,Reporting module adopted for monthly audits; engagement high.
ASCEND-BASIC_5405,Ascend Veterinary Clinic,Veterinary,,2023-02-18,2024-04-12,cancelled,Basic,26.99,3,2024-04-12,0,0,6.8,,0.96,2024-04-12,Account cancelled after initial trial; minimal engagement recorded.
PIONEER-ENT_8046,Pioneer Education Group,Education,e.evans,2022-10-15,,active,Enterprise,1480,105,2024-05-30,97,80.2,90,86.7,0.18,2024-05-30,Curriculum review completed; new dashboard module requested.
MARATHON-PRO_5739,Marathon Construction,Construction,q.morris,2022-05-28,,active,Pro,489,49,2024-05-29,45,85.1,93.8,90.2,0.14,2024-05-28,High engagement; analytics module drives project efficiency.
INFRA-ENT_3025,Infrastructure Dynamics Ltd,Construction,t.burke,2022-04-16,,active,Enterprise,2575,312,2024-05-18,291,93.2,98.5,97.1,0.06,2024-05-20,"Quarterly review completed. Custom dashboard in use, high engagement."
PROF-SRV_0495,Professional Services Group,Professional Services,m.hall,2023-08-11,,active,Pro,529,48,2024-05-17,41,72.4,91.3,,0.18,2024-05-19,Users responded positively to new workflow automation feature.
MEDTECH-PR_1207,MedTech Progress Inc,Healthcare,r.yu,2023-02-04,,active,Pro,370,27,2024-05-14,22,75.7,88.9,,0.22,2024-05-18,Feature rollout scheduled next quarter. Training support requested.
AGRI-BSC_8712,Greenfield Agritech,Agriculture,,2024-03-01,,active,Basic,35.99,5,2024-05-20,3,44.3,,,0.46,2024-05-17,Solo operator. Basic plan fits needs. No upgrade interest.
RETAIL-CNL_1098,Omni Retail Partners,Retail,a.singh,2023-06-21,2024-05-05,expired,Basic,21.99,2,2024-05-05,0,0,40.2,29.9,0.96,2024-05-05,Account expired after a period of inactivity. No renewal planned.
FIN-ENT_8113,FinVest Group Holdings,Finance,d.wright,2022-10-09,,active,Enterprise,3120,425,2024-05-18,396,95.6,99.2,98.4,0.03,2024-05-19,Integration with legacy systems successful. High user satisfaction.
EDU-PR_6210,BrightPath Education,Education,s.kim,2023-03-29,,active,Pro,399,34,2024-05-16,27,70.4,79.7,,0.35,2024-05-18,Mid-year onboarding. Request for parent portal features.
LOG-ENT_5521,Global Logistics Solutions,Transportation,j.martinez,2022-07-23,,active,Enterprise,4100,530,2024-05-18,514,97.8,99.5,99.1,0.02,2024-05-19,Major account. Custom API integration ongoing.
TESTLAB-PR_3387,TestLab Analytics,Testing,p.frost,2023-11-22,,trial,Pro,0,8,2024-05-19,7,62.7,,,0.47,2024-05-19,Pilot phase. Awaiting feedback on feature set.
ENERGY-ENT_6244,EnergyNext Consortium,Energy,v.hernandez,2022-06-13,,active,Enterprise,2950,367,2024-05-17,331,89.1,97.2,96.3,0.08,2024-05-18,Annual contract renewed. High feature adoption.
VET-BSC_4017,Healthy Paws Veterinary,Veterinary,,2024-03-27,,active,Basic,27.99,2,2024-05-20,2,51.1,,,0.39,2024-05-17,Solo operator. Using appointment scheduling module.
AERO-ENT_7850,AeroSpace Technologies,Aerospace,c.mendez,2022-12-15,,active,Enterprise,4720,811,2024-05-18,793,98.9,99.7,98.8,0.03,2024-05-19,High engagement. Data analytics features heavily used.
AD-PR_2391,AdVision Agency,Advertising,e.keller,2023-09-04,,active,Pro,484,53,2024-05-18,50,83.3,93.8,,0.15,2024-05-19,Seasonal campaign spikes. Considering Enterprise upgrade.
MFG-ENT_6089,Manufacture Direct,Manufacturing,f.wong,2022-09-28,,active,Enterprise,3890,405,2024-05-17,393,91.7,97.6,97.1,0.07,2024-05-18,Annual review completed. Expansion planned in next fiscal.
BIO-TRIAL_1045,BioGenix Solutions,Biotechnology,j.davies,2024-04-07,,trial,Basic,0,6,2024-05-18,2,21.9,,,0.52,,Demo in progress. Integration delays reported by client.
AUTO-EXP_4321,AutoExpert Mechanics,Automotive,r.james,2023-05-09,2024-04-30,cancelled,Pro,312,29,2024-04-30,0,0,54.8,23.6,0.99,2024-04-30,Account cancelled due to business restructuring.
MEDIA-PR_5183,MediaStream Partners,Media,l.hart,2023-10-02,,active,Pro,412,38,2024-05-18,30,73.5,81.6,,0.27,2024-05-18,Content scheduling module highly used last month.
RESEARCH-TR_6812,Research Innovations Co,Research,m.jordan,2024-04-10,,trial,Pro,0,13,2024-05-19,7,39.7,,,0.58,2024-05-18,Trial phase. Early feedback on analytics received.
SOLO-BSC_8372,Solo Consulting LLC,Consulting,,2024-01-14,,active,Basic,19.99,1,2024-05-20,1,34.8,,,0.41,2024-05-17,Minimal engagement. No interest in advanced modules.
GOV-ENT_2921,CityGov Solutions,Government,g.nguyen,2022-06-28,,active,Enterprise,2180,190,2024-05-17,172,84.2,95.1,94.3,0.09,2024-05-18,Account stable. Custom reporting module in high use.
FOOD-PR_3024,FoodChain Suppliers,Food & Beverage,b.lowe,2023-11-05,,active,Pro,355,29,2024-05-19,22,67.6,78.4,,0.38,2024-05-18,Onboarding new staff. Usage trending upward.
PHARMA-ENT_1907,PharmaGlobal Ltd,Pharmaceutical,z.jenkins,2022-08-22,,active,Enterprise,3345,321,2024-05-16,299,88.5,96.8,95.6,0.11,2024-05-17,Compliance features fully adopted. Expansion planned.
VEND-BSC_5608,VendorConnect,Wholesale,,2023-12-31,,active,Basic,23.99,3,2024-05-20,2,40.2,,,0.44,2024-05-17,Low engagement. Uses only order tracking module.
TECH-PR_2871,TechBridge IT,Technology,s.holt,2023-07-13,,active,Pro,392,41,2024-05-18,39,75.1,89.7,,0.21,2024-05-18,Frequent support tickets. Considering Enterprise upgrade.
CONSULT-TR_1158,ConsultX Solutions,Consulting,d.lewis,2024-05-01,,trial,Pro,0,15,2024-05-19,10,33.4,,,0.57,2024-05-17,Trial underway. First feedback expected soon.
TRAN-ENT_7159,TransGlobal Freight,Transportation,p.chan,2023-01-16,,active,Enterprise,2260,111,2024-05-18,99,82.7,90.6,,0.13,2024-05-18,Planning for user expansion. Stable engagement metrics.
RENEW-EXP_9842,Renewable Resource Group,Energy,c.rivers,2022-05-19,2024-04-28,expired,Pro,415,39,2024-04-28,0,0,62.3,44.7,0.97,2024-04-28,Account expired after merger. No renewal planned.
FOCUS-PAU_3569,Focus Testing Labs,Testing,edge_mgr,2023-02-10,2024-04-25,paused,Pro,330,31,2024-04-25,0,0,54.2,28.9,0.98,2024-04-25,Paused due to business model change. Awaiting next steps.
MKT-BSC_9804,MarketPulse Insights,Marketing,,2024-02-26,,active,Basic,41.99,7,2024-05-20,5,54.6,,,0.33,2024-05-17,Recent onboarding. Using reporting feature daily.
SCI-TRIAL_7923,SciencePath Labs,Research,v.patel,2024-04-03,,trial,Basic,0,5,2024-05-19,3,24.7,,,0.63,,Early adopter. Testing collaboration module.
CONS-PR_9941,Consortium Consulting,Consulting,a.morris,2023-05-11,,active,Pro,458,52,2024-05-18,46,88.2,92.1,,0.09,2024-05-19,High engagement. Advanced analytics in daily use.
HUMAN-PR_1111,Human Capital Advisors,Human Resources,c.stevens,2023-02-17,,active,Pro,343,28,2024-05-16,22,73.7,81.3,,0.23,2024-05-17,Engagement steady. Request for onboarding automation.
BIO-ENT_1709,BioCore Technologies,Biotechnology,f.alvarez,2022-11-19,,active,Enterprise,2155,162,2024-05-17,146,87.4,94.6,93.3,0.14,2024-05-18,Annual review. High adoption of new compliance module.
TEST-BSC_3220,TestMarket Solutions,Testing,,2023-12-22,,active,Basic,32.99,4,2024-05-20,3,50.5,,,0.36,2024-05-19,Limited engagement. Feature requests pending.
RENEW-TR_4587,Renewal Partners LLC,Energy,s.peters,2024-05-09,,trial,Pro,0,14,2024-05-19,9,36.2,,,0.53,2024-05-18,Trial underway. Awaiting performance feedback.
AD-BSC_8903,AdMix Media,Advertising,,2024-03-13,,active,Basic,29.99,2,2024-05-20,2,47.5,,,0.42,2024-05-19,Basic plan. Moderate engagement with reporting.
LAB-TRIAL_6724,LabConnect Systems,Healthcare,q.chan,2024-04-16,,trial,Pro,0,10,2024-05-19,7,48.1,,,0.41,2024-05-19,Trial phase. Healthcare integration tests ongoing.
EDU-BSC_9002,EduConnect Services,Education,,2024-02-10,,active,Basic,39.99,6,2024-05-20,5,59.7,,,0.32,2024-05-17,Using scheduling module. No advanced features enabled.
